hotel,Price,rating,reviews,loc
APOLLO DIMORA THE BUSINESS HOTEL,SAR285 ,6.8,360 reviews,7 km from center
,,,,
Hodooa Al Masaken,SAR120 ,6.5,334 reviews,15.1 km from center
,,,,
Royal Suites,SAR450 ,7.5,144 reviews,550 m from center
,,,,
Unique Suites,SAR382 ,8.3,338 reviews,5.6 km from center
,,,,
Sama Al Qasr Al Muhammadiah,SAR250 ,7.2,362 reviews,6 km from center
,,,,
Boudl Khurais,SAR240 ,5.8,263 reviews,2.1 km from center
,,,,
Hodooa Al Masaken 4,SAR150 ,6.4,245 reviews,17 km from center
,,,,
Madareem Crown Hotel,SAR642 ,7.2,652 reviews,12.2 km from center
,,,,
El Tawfiq Furnished Suites Malaz,SAR222 ,6.8,166 reviews,4 km from center
,,,,
Samaya Suites,SAR360 ,8.1,262 reviews,9.2 km from center
,,,,
قصر نافا للوحدات السكنية اليرموك,SAR289 ,7.8,92 reviews,16.1 km from center
,,,,
Boudl Al Sahafa,SAR455 ,8.2,999 reviews,13.3 km from center
,,,,
Almakan Hotel 107,SAR540 ,6.1,741 reviews,12.6 km from center
,,,,
ليلة مبيت للوحدات السكنية,SAR240 ,7.8,10 reviews,4.6 km from center
,,,,
Narcissus Riyadh Hotel & Spa,"SAR1,000 ",8.6,"3,480 reviews",350 m from center
,,,,
Ruoof Furnished Units Apartment,SAR250 ,7.3,193 reviews,14.1 km from center
,,,,
East Rodina Furnished Residential Units,SAR187 ,6.9,76 reviews,14.5 km from center
,,,,
Dorar Darea Hotel Apartments - Al Mughrizat,SAR270 ,6.4,191 reviews,9 km from center
,,,,
Beautiful Moment Furnished Apartments,SAR450 ,8.1,494 reviews,16.6 km from center
,,,,
Mandarin Hotel Apartments,SAR475 ,8.7,427 reviews,6.5 km from center
,,,,
Sixty Three Hotel Suites,SAR270 ,7.2,68 reviews,2.1 km from center
,,,,
Duset Hotel Suites,SAR500 ,8.5,"1,772 reviews",7.2 km from center
,,,,
Tobal Al Malaz ApartHotel,SAR255 ,6.9,179 reviews,4 km from center
,,,,
Elite Furnished Units,SAR210 ,8.2,104 reviews,16.9 km from center
,,,,
تالين الرياض للوحدات السكنية,SAR201 ,7.6,122 reviews,14.3 km from center
,,,,
Al Muhaidb Al Nadwa,SAR300 ,7.8,586 reviews,21.8 km from center
,,,,
ال متعب سويتس طريق الدمام,SAR280 ,5.9,143 reviews,15.6 km from center
,,,,
"Radisson Blu Hotel & Residence, Riyadh Diplomatic Quarter","SAR1,301 ",8.5,721 reviews,5.7 km from center
,,,,
,,,,
,,,,
فندق دولف الرياض شارع العمرة Doolv hotel,SAR380 ,7,378 reviews,12.6 km from center
,,,,
Clemence Suites,SAR395 ,8.6,527 reviews,8.4 km from center
,,,,
modern apartment,SAR560 ,6.8,252 reviews,15.8 km from center
,,,,
Hotelier Al Sulaymaniyh,SAR210 ,6.3,412 reviews,2.6 km from center
,,,,
Hodooa Al Masaken 3,SAR150 ,7.6,663 reviews,15.6 km from center
,,,,
